url,source_type,lang,chunk_index,chunk_text
https://www.th-owl.de/en/skim/documentation/wireless-network/,html,en,0,"S(kim) - Service Kommunikation Information Medien Dokumentation: Funknetzwerk (WLAN) TH OWL S(kim) Documentation Wireless network Infrastructure (locations) The wireless network of the Ostwestfalen-Lippe University of Applied Sciences currently consists of access points from Cisco and Fortinet. The access points are distributed across the four campuses of the Ostwestfalen-Lippe University of Applied Sciences in Lemgo, Detmold, Höxter and Herford at the University of Music in Detmold. Lemgo - approx. 362 access points Detmold - approx. 195 access points Höxter - approx. 64 access points Herford - approx. 9 access points Detmold University of Music - approx. 60 access points Important: If you notice that you have poor reception at an important location on campus, please let our support team know. We are attempting to expand the network as much as possible. Access requirements You need a WLAN-enabled device and must be registered at the TH OWL. Your device must support the WLAN standards 802.11gn or 802.11an/ac as well as 802.1x (authentication) (WPA or WPA2 PSK and older devices with WEP are not supported). Access points You can find more detailed information in our documentation on"
https://www.th-owl.de/en/skim/documentation/wireless-network/,html,en,1,"802.11gn or 802.11an/ac as well as 802.1x (authentication) (WPA or WPA2 PSK and older devices with WEP are not supported). Access points You can find more detailed information in our documentation on WLAN: The "" eduroam "" wireless network for staff and students The wireless network "" Conference+Guests "" for guests or conferences E-Mail: support@th-owl.de Phone: +49 5261 702 2222"
https://www.th-owl.de/skim/dokumentation/funknetzwerk/,html,de,0,"S(kim) - Service Kommunikation Information Medien Dokumentation: Funknetzwerk (WLAN) TH OWL S(kim) Dokumentation Funknetzwerk Infrastruktur (Standorte) Das Funknetzwerk der Technischen Hochschule Ostwestfalen-Lippe besteht derzeit aus Access-Points der Firma Cisco sowie Fortinet. Die Accesspoints sind in den vier Standorten Lemgo, Detmold, Höxter und Herford der Technischen Hochschule Ostwestfalen-Lippe sowie an der Hochschule für Musik in Detmold verteilt. Standort Lemgo – ca. 362 Accesspoints Standort Detmold – ca. 195 Accesspoints Standort Höxter – ca. 64 Accesspoints Standort Herford - ca. 9 Accesspoints Standort Hochschule für Musik in Detmold – ca. 92 Accesspoints Wichtig: Sollten Sie feststellen, dass sie auf dem Campus an einer wichtigen Stelle schlechten Empfang haben, teilen sie dies bitte unserem Support mit. Wir sind bemüht, das Netz so dicht wie möglich auszubauen. Zugangsvoraussetzung Sie benötigen ein WLAN-fähiges Gerät und müssen an der Technischen Hochschule Ostwestfalen-Lippe registriert sein. Ihr Gerät muss die WLAN Standarts 802.11gn oder 802.11an/ac sowie 802.1x (Authentifizierung) unterstützen (WPA oder WPA2 PSK und ältere Geräte mit WEP werden nicht unterstüt"
https://www.th-owl.de/skim/dokumentation/funknetzwerk/,html,de,1,"en-Lippe registriert sein. Ihr Gerät muss die WLAN Standarts 802.11gn oder 802.11an/ac sowie 802.1x (Authentifizierung) unterstützen (WPA oder WPA2 PSK und ältere Geräte mit WEP werden nicht unterstützt). Zugänge Detailliertere Informationen finden sie in unseren Dokumentationen zum Thema WLAN: Das Funknetzwerk "" eduroam "" für Mitarbeitende und Studierende Das Gästefunknetzwerk "" Conference+Guests "" für Konferenzen und Tagungen E-Mail: support@th-owl.de Telefon: +49 5261 702-2222"
https://www.th-owl.de/en/skim/documentation/wireless-network/eduroam/,html,en,0,"S(kim) - Service Kommunikation Information Medien Dokumentation: Funknetzwerk (WLAN) TH OWL S(kim) Documentation Wireless network eduroam General information The eduroam WLAN is a standard that is offered at almost all universities and colleges. As soon as you are connected to the WLAN at the university, you are automatically connected to any other eduroam network worldwide. This also automatically applies to guests from other universities and colleges. Prerequisites The university certificate is required to use the eduroam network. If you do not yet have this, the following documentation will tell you how to obtain it and will then refer you back to this starting point: User certificate (If you already have the user certificate, you can skip this point) Configuration Operating system MS Windows 10/11 Apple macOS Linux Operating system (mobile) Apple iOS Android Note - As an alternative to the text and image instructions, you can also use our screencasts for setup."
https://www.th-owl.de/skim/dokumentation/funknetzwerk/eduroam/,html,de,0,"S(kim) - Service Kommunikation Information Medien Dokumentation: Funknetzwerk (WLAN) TH OWL S(kim) Dokumentation Funknetzwerk eduroam Allgemein Das eduroam WLAN ist ein Standard, der an fast allen Universitäten und Hochschulen angeboten wird. Sobald Sie in der Hochschule mit dem WLAN verbunden sind, kommen Sie automatisch in jedes andere eduroam Netz Weltweit. Dies gilt automatisch auch für Gäste aus anderen Universitäten und Hochschulen. Voraussetzungen Für die Nutzung des Netzwerks eduroam wird das Hochschulzertifikat benötigt. Sollte Ihnen dieses noch nicht vorliegen, erfahren Sie in der folgenden Dokumentation wie Sie es beschaffen und werden anschließend auch wieder an diesen Ausgangspunkt verwiesen: Hochschulzertifikat Sollte Ihnen das Hochschulzertifikat bereits vorliegen, können Sie diesen Punkt überspringen Konfiguration des Netzwerkes Betriebssystem MS Windows Apple macOS Linux Betriebssystem (mobil) Apple iOS Android Hinweis - Als Alternative zu den Text und Bildanleitungen können Sie auch unsere Screencasts zur Einrichtung nutzen."
https://www.th-owl.de/skim/dokumentation/funknetzwerk/eduroam/,html,de,1,können Sie auch unsere Screencasts zur Einrichtung nutzen.
https://www.th-owl.de/en/skim/documentation/wireless-network/eduroam/windows/,html,en,0,"S(kim) - Service Kommunikation Information Medien Dokumentation: Funknetzwerk (WLAN) TH OWL S(kim) Documentation Wireless network eduroam Windows To set up the ""eduroam"" wireless network, you need the following things in advance: Internet access - depending on your location, there are three ways to access the Internet: Via the free wireless network ""Conference & Guests"" at all university locations Via internet access with your smartphone From home via your own internet access (DSL) Your User certificate - You can find out how to obtain this certificate using the above internet access in the university certificate documentation . Note - As an alternative to the text instructions, you can also use our screencasts to set this up. (1) Download Open the URL: https://mdl.th-owl.de/mobile/ Use your username and password to log in. A second factor is also required to log in. Click on “Installer program” Download the installation program to the local computer (2) Open Open your Downloads folder and make sure that both files are present. (installation program and certificate). Start the installation by double-clicking on ""edurom-W10-TH-OWL"". If a security warning appears, confirm with “Execu"
https://www.th-owl.de/en/skim/documentation/wireless-network/eduroam/windows/,html,en,1,"and make sure that both files are present. (installation program and certificate). Start the installation by double-clicking on ""edurom-W10-TH-OWL"". If a security warning appears, confirm with “Execute” (3) Install Continue with “Next” in the welcome window. Confirm the message with “OK”. Confirm the next message (Installation is being prepared) with “OK” as well (4) Select certificate The installation program now requires the user certificate. To do this, open the Downloads folder, select the certificate (EduCert_XXX.p12) and confirm with “Open”. The installation requires the password for your username. Please enter it and click on “Install”. The installation program will now install the certificate and configure the network. This may take a while. (5) Finish When the installation is complete, you can close the window with a click on “Finish”. The connection to the ""eduroam"" network is now established automatically. If not, you can establish the connection by clicking on the network."
https://www.th-owl.de/skim/dokumentation/funknetzwerk/eduroam/windows/,html,de,0,"S(kim) - Service Kommunikation Information Medien Dokumentation: Funknetzwerk (WLAN) TH OWL S(kim) Dokumentation Funknetzwerk eduroam Windows Für die Einrichtung des Funknetzwerk "" eduroam "" benötigen Sie vorab die folgenden Dinge: Einen Zugang zum Internet - Diesen erhalten Sie je nach Standort über drei Möglichkeiten: Über das freie Funknetzwerk "" Conference & Guests "" an allen drei Standorten der Hochschule Über einen Internetzugang mit Ihrem Smartphone Von zu Hause über Ihren eigenen Internetzugang Ihr Hochschulzertifikat - Wie Sie dieses Zertifikat erhalten, erfahren Sie mit Hilfe des obigen Internetzugangs in der hier verwiesenen Dokumentation Hochschulzertifikat . Hinweis - Als Alternative zur Textanleitung können Sie auch unsere Screencasts zur Einrichtung nutzen. (1) Download URL: https://mdl.th-owl.de/mobile/ Für die Anmeldung nutzen Sie Ihren Benutzernamen und das Passwort. Außerdem ist ein zweiter Faktor zur Anmeldung notwendig. Eine Anleitung, wie Sie die Zwei Faktor-Authentifizierung einrichten, finden Sie hier in unserer Dokumentation zur Zwei Faktor Authentifizierung. Link zur S(kim)-Dokumentation: Zwei-Faktor-Authentifizierung Klicken Sie auf „WLAN Installationspro"
